DentistName,LicenseNumber,Specialization,Cabinet,PatientName,InsuranceNumber,PatientPhone,AppointmentDate,Status
Anna Petrenko,LIC-1002,Therapist,102,Patient_34,INS-87664,+380504598881,2026-03-30 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_35,INS-12217,+380508914303,2026-04-05 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_36,INS-59679,+380504353090,2026-05-16 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_37,INS-44481,+380504571855,2026-05-10 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_38,INS-50298,+380501290345,2026-03-29 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_39,INS-69914,+380509760112,2026-05-14 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_40,INS-83566,+380507694304,2026-05-14 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_41,INS-25144,+380508777157,2026-04-15 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_42,INS-72737,+380504088288,2026-05-24 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_43,INS-19265,+380503434763,2026-05-07 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_44,INS-97588,+380501904009,2026-04-02 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_45,INS-34692,+380508923249,2026-05-13 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_46,INS-49070,+380502922989,2026-04-19 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_47,INS-22630,+380506422159,2026-04-01 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_48,INS-27791,+380508654660,2026-04-19 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_49,INS-22221,+380503611753,2026-04-03 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_50,INS-70269,+380503325241,2026-04-20 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_51,INS-95688,+380504803174,2026-04-17 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_52,INS-28251,+380502118967,2026-04-05 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_53,INS-84993,+380507883028,2026-04-01 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_54,INS-11783,+380502952376,2026-05-26 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_55,INS-34486,+380503187285,2026-04-24 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_56,INS-74195,+380508120266,2026-04-05 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_57,INS-67492,+380505311319,2026-04-21 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_58,INS-59606,+380501628505,2026-04-14 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_59,INS-32168,+380505606123,2026-05-23 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_60,INS-68613,+380503653904,2026-04-12 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_61,INS-33026,+380501574121,2026-03-30 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_62,INS-70639,+380501198207,2026-04-30 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_63,INS-57782,+380504594249,2026-04-08 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_64,INS-44401,+380506067852,2026-05-21 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_65,INS-26970,+380508337003,2026-05-09 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_66,INS-15247,+380507811846,2026-05-05 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_67,INS-13316,+380501059770,2026-04-14 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_68,INS-56338,+380505405470,2026-05-03 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_69,INS-30321,+380508702625,2026-05-15 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_70,INS-80854,+380501941706,2026-04-11 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_71,INS-85606,+380507634821,2026-04-05 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_72,INS-91245,+380501640636,2026-05-10 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_73,INS-25917,+380506147578,2026-03-31 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_74,INS-23892,+380505222660,2026-05-25 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_75,INS-93604,+380503848222,2026-05-17 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_76,INS-35946,+380502514625,2026-05-14 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_77,INS-75774,+380502619623,2026-03-30 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_78,INS-53340,+380504447296,2026-03-31 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_79,INS-23826,+380505067752,2026-05-11 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_80,INS-35763,+380508400111,2026-05-20 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_81,INS-69908,+380509871071,2026-04-09 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_82,INS-98420,+380506494046,2026-05-23 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_83,INS-26284,+380503021699,2026-05-12 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_84,INS-48823,+380507659841,2026-04-27 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_85,INS-82686,+380502899275,2026-05-04 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_86,INS-77805,+380506332331,2026-05-23 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_87,INS-84510,+380501344020,2026-04-27 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_88,INS-87739,+380502784380,2026-03-30 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_89,INS-18672,+380501873002,2026-04-05 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_90,INS-14659,+380503373401,2026-05-19 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_91,INS-84427,+380501692496,2026-05-18 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_92,INS-46901,+380504855381,2026-04-07 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_93,INS-22903,+380504045400,2026-04-17 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_94,INS-70350,+380505325089,2026-03-28 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_95,INS-68553,+380504756595,2026-05-21 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_96,INS-17703,+380509106525,2026-05-07 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_97,INS-55128,+380504437410,2026-04-08 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_98,INS-83200,+380506433130,2026-04-30 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_99,INS-58366,+380502578846,2026-05-23 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_100,INS-15988,+380503960588,2026-04-16 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_101,INS-18606,+380501019793,2026-05-07 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_102,INS-36619,+380501798753,2026-05-09 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_103,INS-46106,+380508628029,2026-03-31 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_104,INS-12565,+380507922183,2026-05-15 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_105,INS-42900,+380507473632,2026-05-23 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_106,INS-70015,+380501228919,2026-05-15 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_107,INS-56287,+380503380211,2026-04-25 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_108,INS-35468,+380501419707,2026-04-26 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_109,INS-29954,+380502044697,2026-04-01 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_110,INS-85268,+380505629262,2026-04-23 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_111,INS-99717,+380502510329,2026-05-03 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_112,INS-99389,+380508692512,2026-04-10 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_113,INS-78344,+380502883521,2026-04-18 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_114,INS-40278,+380508283964,2026-04-09 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_115,INS-75809,+380504482390,2026-05-04 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_116,INS-11972,+380508138366,2026-03-29 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_117,INS-76681,+380502087464,2026-05-18 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_118,INS-53008,+380505625684,2026-05-14 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_119,INS-97044,+380509482526,2026-04-28 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_120,INS-32888,+380501453265,2026-05-10 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_121,INS-31074,+380506392602,2026-05-06 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_122,INS-36154,+380506074545,2026-05-24 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_123,INS-65451,+380507231963,2026-04-25 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_124,INS-65534,+380504909206,2026-04-16 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_125,INS-60212,+380504024653,2026-04-30 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_126,INS-39365,+380503835903,2026-05-08 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_127,INS-95392,+380502680921,2026-05-17 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_128,INS-17700,+380509147066,2026-04-26 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_129,INS-84157,+380506790626,2026-04-04 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_130,INS-72988,+380505971148,2026-05-15 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_131,INS-92971,+380506999026,2026-05-15 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_132,INS-60079,+380506063779,2026-04-09 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_133,INS-14300,+380506583907,2026-04-23 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_134,INS-25799,+380509439177,2026-05-17 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_135,INS-63157,+380508453871,2026-04-04 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_136,INS-64494,+380505196120,2026-05-26 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_137,INS-49840,+380504175653,2026-04-17 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_138,INS-26183,+380503229973,2026-04-16 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_139,INS-36876,+380505498568,2026-05-02 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_140,INS-90002,+380502998586,2026-05-24 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_141,INS-42424,+380503132559,2026-04-05 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_142,INS-81293,+380507648026,2026-04-28 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_143,INS-28385,+380501012844,2026-05-25 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_144,INS-80480,+380501499182,2026-04-29 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_145,INS-95570,+380503396954,2026-04-23 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_146,INS-86078,+380502921865,2026-04-17 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_147,INS-25233,+380503259153,2026-05-21 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_148,INS-31800,+380503736607,2026-04-23 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_149,INS-61056,+380502012751,2026-05-24 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_150,INS-18351,+380507388562,2026-04-01 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_151,INS-32198,+380508371241,2026-04-30 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_152,INS-83809,+380501638644,2026-05-18 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_153,INS-12250,+380503602093,2026-05-11 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_154,INS-27854,+380504499114,2026-04-09 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_155,INS-57595,+380506264225,2026-05-18 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_156,INS-89060,+380508962418,2026-03-28 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_157,INS-51311,+380502748866,2026-05-11 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_158,INS-89618,+380505173859,2026-04-17 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_159,INS-73204,+380502806623,2026-05-25 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_160,INS-54912,+380504690708,2026-05-05 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_161,INS-56891,+380507981278,2026-05-19 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_162,INS-10113,+380506895125,2026-05-15 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_163,INS-36656,+380503220720,2026-04-10 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_164,INS-75343,+380509285331,2026-04-20 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_165,INS-63676,+380506021735,2026-05-17 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_166,INS-32737,+380503507491,2026-05-26 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_167,INS-45394,+380509805812,2026-04-10 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_168,INS-98079,+380504910003,2026-04-25 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_169,INS-28699,+380501242152,2026-04-16 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_170,INS-83102,+380503759587,2026-05-11 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_171,INS-22640,+380502593334,2026-04-18 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_172,INS-47696,+380507903412,2026-04-25 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_173,INS-52663,+380505171326,2026-04-12 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_174,INS-12265,+380503077322,2026-04-29 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_175,INS-67889,+380507196673,2026-04-22 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_176,INS-57633,+380507626149,2026-05-07 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_177,INS-96850,+380506381824,2026-05-25 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_178,INS-25459,+380505925618,2026-05-02 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_179,INS-44373,+380507946889,2026-03-30 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_180,INS-29665,+380508284261,2026-04-08 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_181,INS-43585,+380503741404,2026-05-16 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_182,INS-25869,+380509972335,2026-05-08 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_183,INS-10870,+380508298338,2026-03-28 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_184,INS-82666,+380505028913,2026-04-07 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_185,INS-25439,+380507064890,2026-04-06 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_186,INS-92883,+380502441058,2026-03-29 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_187,INS-34422,+380508575550,2026-05-24 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_188,INS-73826,+380503458427,2026-04-28 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_189,INS-12759,+380504916263,2026-05-22 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_190,INS-40357,+380507732097,2026-04-21 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_191,INS-97978,+380507909318,2026-04-10 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_192,INS-34520,+380508692210,2026-04-27 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_193,INS-43896,+380508684589,2026-04-04 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_194,INS-40809,+380508583930,2026-04-28 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_195,INS-76444,+380508150734,2026-05-19 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_196,INS-14885,+380502499159,2026-04-19 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_197,INS-94887,+380502026814,2026-05-26 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_198,INS-55914,+380509103166,2026-05-20 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_199,INS-54501,+380506615671,2026-04-12 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_200,INS-42337,+380508525512,2026-05-09 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_201,INS-74605,+380505128891,2026-05-11 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_202,INS-48695,+380502035028,2026-04-15 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_203,INS-38897,+380505998637,2026-05-08 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_204,INS-58644,+380509523588,2026-04-15 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_205,INS-17586,+380508623583,2026-03-31 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_206,INS-35194,+380508389278,2026-04-16 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_207,INS-81019,+380503306903,2026-04-17 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_208,INS-28629,+380503245486,2026-05-06 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_209,INS-26241,+380501409804,2026-05-22 14:12,Completed
Anna Petrenko,LIC-1002,Therapist,102,Patient_210,INS-53836,+380504277814,2026-04-29 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_211,INS-42090,+380502537570,2026-05-05 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_212,INS-13539,+380509778386,2026-05-04 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_213,INS-56464,+380504733967,2026-03-29 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_214,INS-67153,+380508298767,2026-05-13 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_215,INS-27810,+380502597359,2026-05-18 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_216,INS-15236,+380501632457,2026-05-04 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_217,INS-45073,+380507735107,2026-05-19 14:12,Scheduled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_218,INS-91081,+380507920900,2026-04-07 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_219,INS-14304,+380503798412,2026-04-20 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_220,INS-97520,+380505631980,2026-05-15 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_221,INS-18114,+380501782242,2026-05-01 14:12,Completed
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_222,INS-88990,+380509734004,2026-04-19 14:12,Scheduled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_223,INS-33682,+380506011829,2026-04-23 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_224,INS-10614,+380506326549,2026-05-08 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_225,INS-99223,+380501627997,2026-05-17 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_226,INS-35413,+380504500669,2026-05-09 14:12,Cancelled
Oleg Shevchenko,LIC-1003,Orthodontist,103,Patient_227,INS-72580,+380502116450,2026-05-26 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_228,INS-88048,+380509437407,2026-05-15 14:12,Scheduled
Anna Petrenko,LIC-1002,Therapist,102,Patient_229,INS-96429,+380503467929,2026-04-11 14:12,Completed
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_230,INS-18982,+380501439912,2026-04-09 14:12,Cancelled
Ivan Ivanov,LIC-1001,Surgeon,101,Patient_231,INS-47273,+380506086429,2026-05-21 14:12,Cancelled
Anna Petrenko,LIC-1002,Therapist,102,Patient_232,INS-88424,+380508292765,2026-05-05 14:12,Cancelled
